,dialog,cleaned_dialog
401,oh baby baby don t get hooked on me,oh baby baby get hooked
402,i don t know your odds in the world as a whole,know odds world whole
403,but as far as the population of this car goes you re a veritable mac daddy,far population car goes veritable mac daddy
404,baby don t get hooked on me,baby get hooked
405,here you go pad thai no peanuts,go pad thai peanuts
406,does it have peanut oil,peanut oil
407,i m not sure,sure
408,everyone keep an eye on howard in case he starts to swell up,everyone keep eye howard case starts swell
409,since it s not bee season you can have my epinephrine,since bee season epinephrine
410,any chopsticks don t need chopsticks this is thai food,chopsticks need chopsticks thai food
411,here we go,go
412,thailand has had the fork since the latter half of the th century,thailand fork since latter half th century
413,they don t put the fork in their mouth they use it to put the food on a spoon,put fork mouth use put food spoon
414,which then goes into their mouth,goes mouth
415,ask him for a napkin i dare you,ask napkin dare
416,font color e ce knocking on door font,e ce knocking door
417,i ll get it,get
418,do i look puffy i feel puffy,look puffy feel puffy
419,hey leonard oh hi penny,hey leonard oh hi penny
420,am i interrupting no,interrupting
421,font color sheldon font you re not swelling howard,sheldon swelling howard
422,font color howard font no look at my fingers they re like vienna sausages,howard look fingers like vienna sausages
423,sounds like you have company they re not going anywhere,sounds like company going anywhere
424,so you re coming home from work that s great how was work,coming home work great work
425,you know it s a cheesecake factory,know cheesecake factory
426,people order cheesecake and i bring it to them,people order cheesecake bring
427,so you kind of act as like a carbohydrate delivery system,kind act like carbohydrate delivery system
428,yeah call it whatever you want i get minimum wage,yeah call whatever want get minimum wage
429,yeah,yeah
430,i was wondering if you could help me out,wondering could help
431,yes oh,yes oh
432,okay great i m having some furniture delivered,okay great furniture delivered
433,and i may not be here so oh,may oh
434,hello,hello
435,font color e ce speaks in russian font,e ce speaks russian
436,i m sorry,sorry
437,haven t you ever been told how beautiful you are in flawless russian,ever told beautiful flawless russian
438,no i haven t get used to it,get used
439,yeah i probably won t,yeah probably
440,hey sheldon hi,hey sheldon hi
441,hey raj,hey raj
442,still not talking to me huh,still talking huh
443,don t take it personally it s his pathology,take personally pathology
444,he can t talk to women he can t talk to attractive women,talk women talk attractive women
445,or in your case a cheesecake scented goddess,case cheesecake scented goddess
446,there s gonna be some furniture delivered yeah,gonna furniture delivered yeah
447,if it gets here and i m not here could you sign for it and put it in,gets could sign put
448,yeah no problem great here s my spare key,yeah problem great spare key
449,thank you,thank
450,penny wait yeah,penny wait yeah
451,um,um
452,if you don t have any other plans,plans
453,do you wanna join us for thai food and a superman movie marathon,wanna join us thai food superman movie marathon
454,a marathon wow how many superman movies are there,marathon wow many superman movies
455,you re kidding right,kidding right
456,i do like the one where lois lane falls from the helicopter,like one lois lane falls helicopter
457,and superman catches her,superman catches
458,which one was that one,one one
459,you realize that scene was rife with scientific inaccuracy,realize scene rife scientific inaccuracy
460,yes i know men can t fly,yes know men fly
