,dialog,cleaned_dialog
1869,i mean look at wolowitz he s not english but he s dressed like peter pan,mean look wolowitz english dressed like peter pan
1870,sheldon is neither sound nor light but he s obviously the doppler effect,sheldon neither sound light obviously doppler effect
1871,i m not peter pan i m robin hood really,peter pan robin hood really
1872,because i saw peter pan and you re dressed exactly like cathy rigby,saw peter pan dressed exactly like cathy rigby
1873,she was a little bigger than you but it s basically the same look man,little bigger basically look man
1874,sheldon there s something i wanna talk to you about before we go,sheldon something wanna talk go
1875,i don t care if anybody gets it i m going as the doppler effect,care anybody gets going doppler effect
1876,no it s not that if i have to i can demonstrate vroom,demonstrate vroom
1877,terrific um,terrific um
1878,this party is my first chance for penny,party first chance penny
1879,to see me in the context of her social group,see context social group
1880,and i need you not to embarrass me tonight,need embarrass tonight
1881,what exactly do you mean by embarrass you,exactly mean embarrass
1882,for example tonight no one needs to know that my middle name is leakey,example tonight one needs know middle name leakey
1883,but there s nothing embarrassing about that,nothing embarrassing
1884,your father worked with louis leakey a great anthropologist,father worked louis leakey great anthropologist
1885,it had nothing to do with your bed wetting,nothing bed wetting
1886,all i m saying is that this party is the perfect opportunity,saying party perfect opportunity
1887,for penny to see me as a member of her peer group,penny see member peer group
1888,a potential close friend and perhaps more,potential close friend perhaps
1889,i don t wanna look like a dork,wanna look like dork
1890,just a heads up fellas if anyone gets lucky,heads fellas anyone gets lucky
1891,i ve got a dozen condoms in my quiver,got dozen condoms quiver
1892,oh hey guys,oh hey guys
1893,hey sorry we re late,hey sorry late
1894,late it s,late
1895,and you said the party starts at,said party starts
1896,yeah i mean when you start a party at no one shows up at you know,yeah mean start party one shows know
1897,it s,
1898,yes yes it is,yes yes
1899,okay well um come on in,okay well um come
1900,what are all the girls in the bathroom,girls bathroom
1901,probably but in their own homes,probably homes
1902,so what time does the costume parade start,time costume parade start
1903,the parade,parade
1904,yeah so the judges can give out the prizes for best costume,yeah judges give prizes best costume
1905,most frightening most authentic,frightening authentic
1906,most accurate visualization of a scientific principle,accurate visualization scientific principle
1907,oh sheldon i m sorry,oh sheldon sorry
1908,but there aren t gonna be any parades or judges or prizes,gonna parades judges prizes
1909,this party is just going to suck,party going suck
1910,no come on it s gonna be fun and you all look great,come gonna fun look great
1911,i mean look at you thor and oh peter pan,mean look thor oh peter pan
1912,that s so cute,cute
1913,actually penny he s robin i m peter pan,actually penny robin peter pan
1914,and i ve got a handful of pixie dust with your name on it,got handful pixie dust name
1915,no you don t,
1916,hey what s sheldon supposed to be oh he s the doppler effect,hey sheldon supposed oh doppler effect
1917,yes it s the apparent change in the frequency of a wave,yes apparent change frequency wave
1918,caused by relative motion between the source of the wave and the observer,caused relative motion source wave observer
1919,oh sure i see it now the doppler effect,oh sure see doppler effect
1920,all right i gotta shower you guys um make yourselves comfortable,right gotta shower guys um make comfortable
1921,okay,okay
1922,see people get it,see people get
1923,font color e ce music playing font,e ce music playing
1924,font color e ce chattering font,e ce chattering
1925,mm by odin s beard this is good chex mix,mm odin beard good chex mix
1926,no thanks peanuts,thanks peanuts
1927,i can t afford to swell up in these tights,afford swell tights
1928,i m confused,confused
1929,if there s no costume parade what are we doing here,costume parade
1930,we re socializing meeting new people,socializing meeting new people
1931,telepathically,telepathically
1932,oh hey when did you get here font color woman font hi,oh hey get woman hi
1933,penny is wearing the worst catwoman costume i ve ever seen,penny wearing worst catwoman costume ever seen
1934,and that includes halle berry s,includes halle berry
1935,she s not catwoman she s just a generic cat,catwoman generic cat
1936,and that s the kind of sloppy costuming,kind sloppy costuming
1937,which results from a lack of rules and competition,results lack rules competition
1938,hey guys check out the sexy nurse,hey guys check sexy nurse
1939,i believe it s time for me to turn my head and cough,believe time turn head cough
1940,what is your move i m going to use the mirror technique,move going use mirror technique
1941,she brushes her hair back i brush mine she shrugs i shrug,brushes hair back brush mine shrugs shrug
1942,subconsciously she s thinking we re in sync we belong together,subconsciously thinking sync belong together
1943,where do you get this stuff,get stuff
1944,you know psychology journals internet research,know psychology journals internet research
1945,and there s this great show on vh about how to pick up girls,great show vh pick girls
1946,oh if only i had his confidence,oh confidence
1947,i have such difficulty speaking to women,difficulty speaking women
1948,or around women or at times even effeminate men,around women times even effeminate men
1949,if that s a working stethoscope,working stethoscope
1950,maybe you d like to hear my heart skip a beat,maybe like hear heart skip beat
1951,no thanks,thanks
1952,no seriously you can i have transient idiopathic arrhythmia,seriously transient idiopathic arrhythmia
1953,font color e ce under the influence of giants got nothing plays on stereo font,e ce influence giants got nothing plays stereo
1954,so take my money,take money
1955,take my money,take money
1956,i wanna get to know penny s friends i just,wanna get know penny friends
1957,i don t know how to talk to these people,know talk people
1958,well i actually might be able to help how so,well actually might able help
1959,like jane goodall observing the apes,like jane goodall observing apes
